Region,Aggregated Volume,latitude,longitude
Albany,16015744.24,42.65258,-73.756233
Atlanta,88409136.71,33.753746,-84.38633
BaltimoreWashington,134101915.9,39.299236,-76.609383
Boise,14381383.9,43.618881,-116.215019
Boston,96916060.51,42.361145,-71.057083
BuffaloRochester,22798570.46,42.88023,-78.878738
California,1026683890,36.778259,-119.417931
Charlotte,35383973.78,35.227085,-80.843124
Chicago,133224452.6,41.881832,-87.623177
CincinnatiDayton,44319187.73,39.103119,-84.512016
Columbus,29844131.05,39.983334,-82.98333
DallasFtWorth,208091844.4,32.779167,-96.808891
Denver,138554248.4,39.742043,-104.991531
Detroit,63110736.93,42.331429,-83.045753
GrandRapids,30097086.53,42.963795,-85.670006
GreatLakes,586994497.8,45.052238,-82.484612
HarrisburgScranton,41561019.01,40.26368,-76.890739
HartfordSpringfield,50417932.64,41.76371,-72.685097
Houston,202797408.8,29.749907,-95.358421
Indianapolis,30133634.62,39.791,-86.148003
Jacksonville,28737024.29,30.332184,-81.655647
LasVegas,54253041.33,36.114647,-115.172813
LosAngeles,506665007.9,34.052235,-118.243683
Louisville,16050582.45,38.328732,-85.764771
MiamiFtLauderdale,97564741.94,25.761681,-80.191788
Nashville,35516739.55,36.174465,-86.76796
NewOrleansMobile,45604953.61,29.951065,-90.071533
NewYork,239066602.2,40.73061,-73.935242
NorthernNewEngland,71223276.79,43.965389,-70.822654
Orlando,58228468.57,28.538336,-81.379234
Philadelphia,70243804.15,39.952583,-75.165222
PhoenixTucson,194758115.4,33.448376,-112.074036
Pittsburgh,18163463.73,40.440624,-79.995888
Plains,307041552.6,47.460213,-114.882912
Portland,108449152.5,45.523064,-122.676483
RaleighGreensboro,47412817.61,35.787743,-78.644257
RichmondNorfolk,41406776.65,37.54129,-77.434769
Roanoke,24488978.84,37.270969,-79.941429
Sacramento,74701765.33,38.575764,-121.478851
SanDiego,88765417.98,32.715736,-117.161087
SanFrancisco,134457938.1,37.773972,-122.431297
Seattle,105809008.9,47.608013,-122.335167
SouthCarolina,59912756.01,33.836082,-81.163727
Spokane,15308866.02,47.658779,-117.426048
StLouis,31604501.15,38.627003,-90.199402
Syracuse,10673264.17,43.088947,-76.15448
Tampa,65634367.53,27.964157,-82.452606
